PlotID,PlotName,Area,Side,HistoricalName,Location,Thaw Stage,StageNum,Year,Stage.Year,Treatment,Replicate,WardCluster,ClustNum,MaxThaw,IceChange17to19,IceHistAVG,IceChangeHistTo19,Soil.moisture.mV,Soil.temp.C,JulyPeakMeth.umol/m2/min,Cum.CH4.umol,Cum.CH4.mol,Cum.CH4.gC,JulyNEE,Cum.NEE.umol,Cum.NEE.mol,Cum.NEE.gC,JulyER,PeakER,GPP,Cum.ER.umol.day,Richness,Closs.umol.m2,Closs.mol.m2,Closs.gC.m2,Graminoids,Ericoids,Sphagna
PP-SD1-18,PPSD1,PP,MRT,Control,PPBo,1-Early,2,2018,1-Early2018,SD,1,A,1,77,11,46,31,167,4.2,4.289448303,447742.0873,0.447742087,5.377695888,5.100234825,-166.4260418,-0.000166426,-0.001998893,7.017728321,5.5254711,1.917493496,760397.849,9,447575.6613,0.447575661,5.375696995,20,17,85
PP-SD1-19,PPSD1,PP,MRT,Control,PPBo,1-Early,2,2019,1-Early2019,SD,1,A,1,82,16,46,36,182,2.9,5.298826284,467122.444,0.467122444,5.610467538,-1.595389576,-156.2791603,-0.000156279,-0.001877022,5.321038539,6.005494592,7.600884168,705400.0791,9,466966.1648,0.466966165,5.608590516,26,51,76
PP-SD2-17,PPSD2,PP,CAT,Snow,PPBo,1-Early,2,2017,1-Early2017,SD,2,D,2,75,0,46,29,607,10.8,4.759075832,392432.076,0.392432076,4.713383935,-3.943970408,182.819861,0.00018282,0.002195795,6.317255725,5.606263037,10.26122613,632179.7189,13,392614.8959,0.392614896,4.71557973,5,59,50
PP-SD2-18,PPSD2,PP,CAT,Snow,PPBo,1-Early,2,2018,1-Early2018,SD,2,D,2,98,23,46,52,199,20.1,3.056261253,352483.7326,0.352483733,4.233576367,-3.224703492,-150.8337282,-0.000150834,-0.001811619,6.779312319,7.731498785,10.95620228,962241.3613,20,352332.8989,0.352332899,4.231764748,15,42,52
PP-SD2-19,PPSD2,PP,CAT,Snow,PPBo,1-Early,2,2019,1-Early2019,SD,2,D,2,82,7,46,36,638,7.2,3.333992347,333573.3439,0.333573344,4.006449362,-1.875472232,-155.999342,-0.000155999,-0.001873661,2.042784124,8.67966634,10.55513857,1021000.066,12,333417.3446,0.333417345,4.0045757,20,47,32
PP-SD3-17,PPSD3,PP,MRT,Control,PPBo,1-Early,2,2017,1-Early2017,SD,3,C,3,65,0,46,19,1148,16.8,3.918142545,384055.121,0.384055121,4.612770842,-1.457741865,-118.3944496,-0.000118394,-0.001422,3.04515272,3.322162091,4.779903956,429500.5529,6,383936.7266,0.383936727,4.611348842,90,16,1
PP-SD3-18,PPSD3,PP,MRT,Control,PPBo,1-Early,2,2018,1-Early2018,SD,3,C,3,67,2,46,21,1147,14.5,7.834391365,556706.3861,0.556706386,6.686433392,-3.822280139,-114.8395034,-0.00011484,-0.001379303,1.73096873,3.632918495,7.455198634,368068.9071,4,556591.5466,0.556591547,6.685054089,90,7,0
PP-SD3-19,PPSD3,PP,MRT,Control,PPBo,1-Early,2,2019,1-Early2019,SD,3,C,3,73,8,46,27,1145,17.9,6.329962224,506061.9369,0.506061937,6.078158106,0.997303317,-117.7661688,-0.000117766,-0.001414454,4.461076671,3.971570873,3.463773354,369113.5451,6,505944.1707,0.505944171,6.076743651,85,16,3
PP-SD4-17,PPSD4,PP,CAT,Snow,PPBo,1-Early,2,2017,1-Early2017,SD,4,D,2,78,0,46,32,490,4.1,5.028543749,574427.1737,0.574427174,6.899272455,0.967767231,-90.54480055,-9.05448E-05,-0.001087506,8.841545722,7.625529551,7.873778491,845942.1631,19,574336.6289,0.574336629,6.898184949,10,141,70
PP-SD4-18,PPSD4,PP,CAT,Snow,PPBo,1-Early,2,2018,1-Early2018,SD,4,D,2,88,10,46,42,440,8.9,8.016073369,450764.5718,0.450764572,5.413998043,0,-96.5661536,-9.65662E-05,-0.001159827,5.549761873,9.809275919,9.809275919,1176801.635,13,450668.0056,0.450668006,5.412838215,20,122,71
PP-SD4-19,PPSD4,PP,CAT,Snow,PPBo,1-Early,2,2019,1-Early2019,SD,4,D,2,101,23,46,55,430,11.7,18.79212372,851291.1708,0.851291171,10.22460287,-4.139892333,-104.7892721,-0.000104789,-0.001258593,5.651121179,9.181439234,13.32133157,1157744.833,10,851186.3815,0.851186382,10.22334427,25,92,72
