PlotID,PlotName,Area,Side,HistoricalName,Location,Thaw Stage,StageNum,Year,Stage.Year,Treatment,Replicate,WardCluster,ClustNum,MaxThaw,IceChange17to19,IceHistAVG,IceChangeHistTo19,Soil.moisture.mV,Soil.temp.C,JulyPeakMeth.umol/m2/min,Cum.CH4.umol,Cum.CH4.mol,Cum.CH4.gC,JulyNEE,Cum.NEE.umol,Cum.NEE.mol,Cum.NEE.gC,JulyER,PeakER,GPP,Cum.ER.umol.day,Richness,Closs.umol.m2,Closs.mol.m2,Closs.gC.m2,Graminoids,Ericoids,Sphagna
AM-SD3-19,AMSD3,AM,FST,NA,AMFs,2-Intermediate,3,2019,2-Intermediate2019,SD,3,C,3,114,30,NA,NA,1141,5,23.37101403,3234665.493,3.234665493,38.85059684,0.444621612,-191.9299877,-0.00019193,-0.002305214,1.648876557,6.067846818,5.623225206,715416.4591,11,3234473.563,3.234473563,38.84829162,100,19,3
PP-C1-17,PPC1,PP,MRT,Control,PPBo,1-Early,2,2017,1-Early2017,C,1,D,2,59,0,46,13,107,10.2,1.941262755,218439.9049,0.218439905,2.623616166,1.86926656,-7.508685624,-7.50869E-06,-9.01846E-05,9.040363627,5.865010002,7.171097067,801589.7089,8,218432.3962,0.218432396,2.623525981,30,82,70
PP-C1-18,PPC1,PP,MRT,Control,PPBo,1-Early,2,2018,1-Early2018,C,1,D,2,66,7,46,20,336,4.5,4.344689486,470730.9201,0.47073092,5.653807862,-4.132327324,-140.0420539,-0.000140042,-0.001682003,8.077019718,9.572751169,13.70507849,1158217.641,14,470590.878,0.470590878,5.652125859,20,72,85
PP-C1-19,PPC1,PP,MRT,Control,PPBo,1-Early,2,2019,1-Early2019,C,1,D,2,65,6,46,19,699,13.5,5.100842255,488797.3574,0.488797357,5.870798421,-3.29142924,-178.019246,-0.000178019,-0.002138136,10.88096589,9.105670936,14.17239513,1033584.786,14,488619.3382,0.488619338,5.868660285,25,62,81
PP-C2-17,PPC2,PP,MRT,Control,PPSt,0-Stable,1,2017,0-Stable2017,C,2,D,2,50,0,46,4,373,0,1.678678776,180773.4699,0.18077347,2.171215915,-0.404787109,-114.028363,-0.000114028,-0.00136956,4.515837843,6.621274543,7.026061652,864241.7746,16,180659.4415,0.180659442,2.169846354,20,97,3
PP-C2-18,PPC2,PP,MRT,Control,PPSt,0-Stable,1,2018,0-Stable2018,C,2,D,2,59,9,46,13,530,3.9,4.703603835,362172.3451,0.362172345,4.349943385,0.961211339,-92.25568962,-9.22557E-05,-0.001108055,6.793378508,5.576062101,5.832167169,700008.8893,18,362080.0894,0.362080089,4.34883533,10,62,1
PP-C2-19,PPC2,PP,MRT,Control,PPSt,0-Stable,1,2019,0-Stable2019,C,2,D,2,55,5,46,9,708,9.3,0.7992197,106178.4414,0.106178441,1.275277406,2.911642123,-80.56961493,-8.05696E-05,-0.000967697,4.860791733,5.672397769,2.760755646,659996.1755,13,106097.8718,0.106097872,1.274309709,20,72,0
PP-C3-17,PPC3,PP,CAT,Snow,PPSt,0-Stable,1,2017,0-Stable2017,C,3,D,2,56,0,46,10,570,8.3,2.433415341,228708.2147,0.228708215,2.746945754,-1.024972179,-231.200608,-0.000231201,-0.002776881,4.503190093,8.21814166,9.243113839,937002.0925,13,228477.0141,0.228477014,2.744168873,90,91,40
PP-C3-18,PPC3,PP,CAT,Snow,PPSt,0-Stable,1,2018,0-Stable2018,C,3,C,3,62,6,46,16,867,9.4,1.11854328,129722.0436,0.129722044,1.558052549,0.857248103,-184.4094735,-0.000184409,-0.002214887,6.683744973,9.171687464,8.314439361,960093.0215,20,129537.6341,0.129537634,1.555837662,80,66,30
PP-C3-19,PPC3,PP,CAT,Snow,PPSt,0-Stable,1,2019,0-Stable2019,C,3,C,3,58,2,46,12,247,9.5,1.654540789,171921.106,0.171921106,2.064892828,-2.479313652,-146.1885937,-0.000146189,-0.001755827,5.11442976,6.550529884,9.029843536,861116.2437,10,171774.9174,0.171774917,2.063137,70,56,39
